Method,Changed Test Case,,,Reused Test Case,,,Overall Test Case,,,,Changed Test Suite,,,Reused Test Suite,,,Overall Test Suite,,
,Pre.,Rec.,F1,Pre.,Rec.,F1,Pre.,Rec.,F1,BSC,Pre.,Rec.,F1,Pre.,Rec.,F1,Pre.,Rec.,F1
Expert,93.88,89.02,91.31,90.95,93.39,91.19,93.97,89.62,91.65,87.27,89.15,90.94,90.01,85.4,93.35,87.8,90.12,92.27,91.15
GPT,24.57,11.84,14.48,21.65,71.66,32.14,38.79,30.92,32.25,67.18,30.91,13.95,16.64,25.37,71.95,34.7,46.11,33.69,35.94
Grok,13.67,1.28,2.2,44.48,13.17,14.33,36.62,5.4,8.66,44.85,14.69,1.79,2.98,39.36,12.39,12.61,35.19,7.58,11.83
Gemini,26.34,10.86,14.04,29.39,66.78,35.91,40.43,25.12,28.86,62.99,35.77,13.21,16.7,30.32,67.04,37.15,52.31,32.65,35.62
ESIM,27.02,12.14,15.45,22.99,90.99,35.64,42.02,32.05,34.48,66.97,-,-,-,-,-,-,-,-,-
RPTSP,24.26,11.94,15.17,23.83,92.83,36.93,40.56,31.89,34.83,72.28,-,-,-,-,-,-,-,-,-
LLM4Fin,-,-,-,-,-,-,75.15,78.03,70.92,73.88,-,-,-,-,-,-,73.67,71.16,70.21
Ours,90.2,88.04,88.14,97.86,90.95,93.93,92.55,90.95,91.19,87.62,86.68,90.67,88.37,97.14,89.9,93.11,88.37,92.69,90.28
