Method,Changed Test Case,,Reused Test Case,,Overall Test Case,,Changed Test Suite,,Reused Test Suite,,Overall Test Suite,
,F1,Delta,F1,Delta,F1,Delta,F1,Delta,F1,Delta,F1,Delta
ours,88.1,-,93.9,-,91.2,-,88.4,-,93.1,-,90.3,-
w/o R+S+I,13.8,84.4↓,35.8,61.9↓,28.6,68.6↓,-,-,-,-,-,-
w/o S+I,14.9,83.1↓,37.9,59.7↓,33.3,63.5↓,-,-,-,-,-,-
w/o G+C,-,-,-,-,79.7,12.6↓,-,-,-,-,79.6,11.8↓
w/o I,57.8,34.4↓,59.5,36.6↓,58.8,35.5↓,59.7,32.5↓,69.1,25.8↓,61.9,31.5↓
ESIM,15.5,82.5↓,35.6,62.1↓,34.5,62.2↓,-,-,-,-,-,-
RPTSP,15.2,82.8↓,36.9,60.7↓,34.8,61.8↓,-,-,-,-,-,-
LLM4Fin,-,-,-,-,70.9,22.2↓,-,-,-,-,70.2,22.2↓
